Encuentro en el estudio, La renga,La 25, Callejeros, Falta y Resto, GNR, Bersuit, Ban1, Ban2, Ban3, Ban4
2013-05, 0,7.9, 0,7.9,9,4,1,2,8,4
2013-06,6.9,16.5, 0,7.9,9,4,1,2,8,4
2013-07,6.5,6.14, 18.4,7.9,9,4,1,2,8,4
2013-08,9,4,1,2,8,4,18.4,7.9,9,4
2013-09,4.4,16.2,1,2,8,4,0,7.9,9,4
2013-10,9,4, 0,1,2,8,4,7.9,9,4
2013-11,19,4,1,2,8,4,18.4,7.9,9,4
2013-12,3,24,1,2,8,4,18.4,7.9,9,4
2014-01,8,7,1,2,8,4,0,7.9,9,4
2014-02,6,1,2,8,4,16.5, 0,7.9,9,4
2014-03,3,1,2,8,4,6, 18.4,7.9,9,4
2014-04,9,1,2,8,4,14, 18.4,7.9,9,4
2014-05, 18.4,1,2,8,4,7.9, 0,7.9,9,4
2014-06,6.9,1,2,8,4,16.5, 0,7.9,9,4
2014-07,6.5,6.14,1,2,8,4,18.4,7.9,9,4
2014-08,9,4,1,2,8,4,0,7.9,9,4
2014-09,4.4,16.2,1,2,8,4,0,7.9,9,4
2014-10,9,4,9,1,2,8,4,4,9,4
2014-11,19,4,9,1,2,8,4,4,9,4
2014-12,9,14,9,4,1,2,8,4,9,4
2015-01,18,7,9,4,1,2,8,4,9,4
2015-02,16,1,2,8,4,6.5,9,4,9,4
2015-03,3,16,9,4,1,2,8,4,9,4
2015-04,3,7,9,4,1,2,8,4,9,4
2015-05, 8,9,9,1,2,8,4,4,9,4
2015-06,9,5,9,4,1,2,8,4,9,4
2015-07,5,14,9,4,16,1,2,8,4,6.5
2015-08,19,4,9,4,16,1,2,8,4,6.5
2015-09,4,6.2,9,4,16,6.5,1,2,8,4
2015-10,3,4,9,4,16,6.5,1,2,8,4
2015-11,11,14,9,4,16,6.5,1,2,8,4
2015-12,12,11,9,4,16,6.5,1,2,8,4
2016-01,18,7,9,4,16,6.5,1,2,8,4
2016-02,16,6.5,16,6.5,16,6.5,1,2,8,4
2016-03,3,1,2,8,4,16,16,6.5,16,6.5
2016-04,9,19,29,0,43,0,0,0,36,6.5
2016-05,8,1,2,8,4,9,16,6.5,16,6.5
2016-06,9,5,1,2,8,4,16,6.5,16,6.5
2016-07,5,14,1,2,8,4,16,6.5,16,6.5
2016-08,19,4,1,2,8,4,16,6.5,16,6.5
2016-09,4,6.2,1,2,8,4,16,6.5,0,6.5
2016-10,3,4,16,6.5,1,2,8,4,16,6.5
