mes,El uso racional del agua,El poder del agua,Agua y cultura,La huella hídrica,El cambio climático,Tecnología y energía,Agua y salud,El origen del agua y de la vida,Agua y urbanización,Agua y contaminación&nbsp;,El ciclo del agua,El derecho al agua,El abastecimiento,El agua entre nosotros,El agua que nos rodea
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,174,0,0,0,0,96,0,0,0,0,96,0,0
2014-07,75,0,25,0,89,0,0,0,0,0,85,85,0,0,0
2014-08,0,0,0,0,0,0,38,96,75,0,0,75,75,0,0
2014-09,98,0,0,0,0,105,37,0,0,105,98,0,0,0,0
2014-10,0,203,27,115,98,0,0,0,0,0,0,0,0,0,0
2014-11,57,0,88,0,0,0,0,97,0,0,0,94,94,0,0
2014-12,37,0,0,0,94,0,87,0,87,0,87,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,84,65,0,0,0,84,0,0,0,0,62,21,19
2015-04,0,0,65,0,0,0,0,65,0,0,0,32,65,56,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,83,0,0,0,0,72,0,0,0,57,83,0,0
2016-02,31,0,100,0,0,0,0,100,0,0,0,126,100,0,0
2016-03,71,0,0,0,0,0,64,0,67,0,102,0,0,0,0
2016-04,0,102,0,75,0,133,38,0,0,75,0,0,0,0,0
2016-05,0,0,103,27,0,0,0,76,0,0,0,0,65,103,103
2016-06,103,0,0,0,57,0,0,0,0,0,103,103,38,0,0
2016-07,0,0,0,0,34,87,114,0,114,114,0,0,0,0,0
2016-08,0,114,46,84,0,0,0,0,0,0,0,0,0,73,73
2016-09,46,0,27,0,0,0,0,57,0,0,0,57,57,0,0
2016-10,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
