mes,Matías y Gonzalo Reggiardo Tolosa y...,Jorgelina Molina Planas y Pedro Nadal,Ezequiel Rochistein y Victoria...,Martín Amarilla Molfino,Gabriel Cevasco,Catalina De Sanctis Ovando,Juan Pablo Moyano y Mariana Zaffaroni,Marcos Suárez Vedoya y Carlos D´Elia
2013-05,142,0,0,0,0,0,69,29
2013-06,60,109,109,0,109,109,0,0
2013-07,102,0,42,102,0,0,102,102
2013-08,0,102,60,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,15,0,0,7
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,73,42,0,11
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,47,47,47,0,47
2014-10,32,43,43,0,0,32,47,0
2014-11,0,0,0,0,0,11,0,0
2014-12,0,0,0,0,11,11,0,7
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0
