mes,David Ricardo,Los fisiócratas,El pensamiento económico argentino,El pensamiento económico a inicios del...,Los mercantilistas,La revolución marginalista y la...,Karl Marx,Adam Smith,Federico List,La economía del sur y el pensamiento...,La contraofensiva liberal....,Keynes y la crisis más profunda del...,¿Qué es la economía?
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,36,0,0,73,0,0,0,0,0,0,0,73
2013-09,73,37,0,0,0,0,73,73,62,0,0,0,0
2013-10,0,0,21,0,0,58,0,0,11,73,0,146,0
2013-11,0,0,52,73,36,0,0,0,0,0,73,0,73
2013-12,73,62,0,0,37,0,62,73,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,73,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,45,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0
