mes,Georg Hegel,Sigmund Freud,Levi-Strauss,Roland Barthes,Antonio Gramsci,Pierre Bourdieu,John Maynard Keynes,Albert Einstein
2013-05,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0
2015-04,0,0,0,0,0,0,0,0
2015-05,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0
2015-08,0,79,0,0,79,0,79,79
2015-09,43,79,79,79,0,79,0,0
2015-10,36,43,0,0,43,0,43,43
2015-11,0,0,0,0,0,31,0,91
2015-12,34,78,0,27,91,85,42,85
2016-01,0,138,89,0,80,0,116,80
2016-02,80,0,96,80,0,80,0,0
2016-03,49,85,0,0,0,43,0,69
2016-04,75,100,43,43,0,0,0,0
2016-05,0,0,0,0,85,64,64,64
2016-06,49,49,49,49,0,0,0,49
2016-07,58,95,106,106,101,106,101,106
2016-08,0,73,7,0,68,0,91,60
2016-09,145,146,86,54,86,60,138,0
2016-10,85,114,70,110,0,138,145,242
