mes,Neutralidad,1876: sanción de ley de fomento de la...,Eva Perón,1824: el empréstito Baring Brothers y...,Perón y la Iglesia,El esclavismo en el Virreinato del Río...,Guerra de la Triple Alianza,1929: el crac financiero y la crisis...,La Revolución francesa y la disputa...,Las rutas de la colonización en América,Batalla de San Lorenzo,La muerte de Perón,Unitarios y federales,Invasiones Inglesas,La colonización española en el Río de...,Manuel Dorrego,1947: el Plan Marshall y la...,Vicisitudes patagónicas,La federalización de Buenos Aires
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,74,0,43,121,0,31,0,0,0
2014-04,74,0,74,0,31,0,0,0,0,0,0,0,0,0,0,43,0,74,0
2014-05,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2014-08,0,0,0,89,0,0,0,0,27,89,0,0,0,0,129,0,0,0,0
2014-09,0,83,0,0,0,89,0,0,89,0,0,0,0,0,89,0,0,0,0
2014-10,0,104,0,104,0,104,0,0,15,83,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,62,104,78,104,0,0,0,0,0,0,0,0,0,104
2014-12,0,0,0,0,0,0,77,26,0,104,0,0,0,0,0,0,62,0,104
2015-01,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04,0,42,0,96,0,0,0,0,0,96,0,0,0,0,85,0,0,0,0
2015-05,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
