mes,Ingeniería en sistemas,Licenciatura en Enfermería,Licenciatura en criminalística,Policía,Ingeniería forestal,Ciencias políticas,Ingeniería mecánica,Ingeniería hidráulica,Ingeniería en biotecnología,Biología marina,Diseño industrial,Profesorado de educación primaria,Ingeniero en petróleo,Periodismo,Ingeniería en alimentos,Turismo
2013-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08,0,0,0,0,0,65,0,0,65,0,0,0,0,0,0,65
2013-09,50,0,0,0,0,0,65,0,0,65,0,0,0,65,0,0
2013-10,0,54,65,0,50,0,0,65,0,0,50,0,0,0,0,0
2013-11,0,0,0,0,15,0,0,0,0,0,0,15,65,0,65,0
2013-12,0,0,0,0,0,0,0,0,80,0,0,65,0,0,0,65
2014-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2014-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03,0,0,0,0,0,46,46,0,46,46,0,0,0,0,0,46
2015-04,0,0,0,0,0,36,36,0,36,0,0,0,0,0,0,36
2015-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04,0,0,0,0,0,57,57,0,57,0,0,0,0,0,0,57
2016-05,57,57,0,0,0,0,0,0,0,57,57,0,0,57,0,0
2016-06,0,0,57,0,0,0,0,57,0,0,0,0,57,0,57,0
2016-07,0,0,0,72,0,72,0,0,72,0,0,72,0,0,0,0
2016-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
